DEPTH,,CALI,RHOB,TNPH,SP,SGR,LLD,LLS,MSFLC,DTLN,DRHO,PERMCORE  .,PHICORE ,GDCORE
FT,,IN,G/C3,DEC,MV,GAPI,OHMM,OHMM,OHMM,US/F,G/C3,MD,FRAC,KGDM
7885.0,7825.0,8.14,2.244,0.181,-15.88,19.48,16.76,11.79,4.03,87.60,0.001,-999,-999,-999
7885.5,7825.5,8.15,2.258,0.189,-15.69,20.93,13.78,9.90,3.10,87.10,0.000,-999,-999,-999
7886.0,7826.0,8.15,2.255,0.201,-15.50,20.28,11.57,8.35,2.26,85.90,-0.001,-999,-999,-999
7886.5,7826.5,8.14,2.228,0.205,-15.22,19.49,10.17,7.43,1.79,86.65,-0.005,1377,0.256,2.65
7887.0,7827.0,8.15,2.220,0.197,-14.82,19.77,9.76,7.30,1.61,85.92,-0.010,-999,-999,-999
7887.5,7827.5,8.15,2.269,0.190,-14.72,22.17,10.81,7.78,1.51,88.00,-0.005,1827,0.287,2.66
7888.0,7828.0,8.15,2.287,0.181,-14.77,26.60,14.40,9.29,1.87,90.10,-0.006,2166,0.26,2.65
7888.5,7828.5,8.15,2.254,0.172,-14.52,27.43,26.53,13.52,2.87,90.31,0.001,-999,-999,-999
7889.0,7829.0,8.15,2.202,0.167,-14.12,23.11,47.51,21.12,4.05,91.80,-0.003,-999,-999,-999
7889.5,7829.5,8.15,2.192,0.168,-14.07,20.95,60.61,27.31,5.38,92.50,0.000,-999,-999,-999
7890.0,7830.0,8.15,2.186,0.177,-14.00,21.21,59.68,28.08,6.08,92.30,0.007,-999,0.311,2.78
7890.5,7830.5,8.15,2.170,0.193,-14.25,21.82,54.29,25.60,6.19,91.85,0.012,-999,-999,-999
7891.0,7831.0,8.15,2.170,0.207,-14.53,23.70,47.66,22.43,5.73,92.94,0.021,-999,0.312,2.67
7891.5,7831.5,8.15,2.135,0.200,-14.52,24.79,42.08,19.57,4.85,91.50,0.010,-999,-999,-999
7892.0,7832.0,8.15,2.161,0.182,-14.78,23.35,38.48,17.57,4.29,90.40,0.006,-999,-999,-999
7892.5,7832.5,8.15,2.208,0.169,-15.02,21.52,36.92,16.53,4.17,89.90,0.002,960.3,0.24,2.65
7893.0,7833.0,8.15,2.230,0.161,-15.14,20.09,37.24,16.46,4.31,88.85,0.010,-999,-999,-999
7893.5,7833.5,8.15,2.230,0.159,-15.35,19.14,39.46,17.36,4.53,88.74,0.011,1242,0.241,2.65
7894.0,7834.0,8.15,2.248,0.159,-15.52,17.64,43.09,19.00,4.81,87.40,0.007,-999,-999,-999
7894.5,7834.5,8.14,2.197,0.162,-15.78,15.06,45.01,20.28,5.20,87.15,0.005,2537,0.247,2.7
7895.0,7835.0,8.15,2.214,0.168,-16.06,16.95,41.18,19.55,5.61,86.64,0.006,-999,-999,-999
7895.5,7835.5,8.15,2.238,0.175,-16.33,18.32,32.69,16.39,5.45,85.10,-0.004,1937,0.259,2.67
7896.0,7836.0,8.14,2.234,0.186,-16.67,18.97,24.46,12.52,4.71,84.20,-0.006,-999,-999,-999
7896.5,7836.5,8.14,2.252,0.194,-16.74,20.80,19.12,9.64,3.55,83.80,-0.001,1692,0.239,2.65
7897.0,7837.0,8.15,2.254,0.194,-16.99,20.82,17.20,8.30,2.52,83.90,0.007,-999,-999,-999
7897.5,7837.5,8.15,2.252,0.185,-17.11,19.48,18.26,8.36,2.08,83.85,0.008,-999,-999,-999
7898.0,7838.0,8.15,2.267,0.172,-17.58,16.99,21.84,9.61,2.44,83.35,0.004,1115,0.258,2.65
